merge_id,n_files,n_diverged,file_paths,suspected_category(1-7|none),rationale
apache_shiro__13806fc623,1,0,web/src/test/java/org/apache/shiro/web/mgt/CookieRememberMeManagerTest.java,DRAFT:none-identified,DRAFT(claude): all scored files == dev resolution (ws-norm); failure not attributable to scored files
blockchain_api-v1-client-java__abdf54e6ab,1,0,src/main/java/info/blockchain/api/HttpClient.java,DRAFT:6,"DRAFT(claude): field rename BASE_URL->baseURL, stale uses survive; confirmed compile error"
camsys_onebusaway-application-modules__915e2f3ffe,1,0,onebusaway-transit-data-federation/src/main/java/org/onebusaway/transit_data_federation/impl/beans/StopWithArrivalsAndDeparturesBeanServiceImpl.java,DRAFT:none-identified,DRAFT(claude): all scored files == dev resolution (ws-norm); failure not attributable to scored files
cloudfoundry_cf-java-client__80d0a0dff9,1,0,cloudfoundry-operations/src/main/java/org/cloudfoundry/operations/serviceadmin/DefaultServiceAdmin.java,DRAFT:6,"DRAFT(claude): external API rename (Reactor when->zip/then->flatMap), stale old-API calls kept"
cloudfoundry_cf-java-client__9f6b79e294,1,0,cloudfoundry-operations/src/main/java/org/cloudfoundry/operations/applications/DefaultApplications.java,DRAFT:6,"DRAFT(claude): external API rename (Reactor), same pattern x5 hunks"
cternes_openkeepass__bb53512ab2,2,0,src/main/java/de/slackspace/openkeepass/KeePassDatabase.java;src/test/java/de/slackspace/openkeepass/reader/KeepassDatabaseReaderTest.java,DRAFT:none,DRAFT(claude): additive interference: kept CustomIcons test dev dropped; sibling changes invalidate it
erudika_para__a9e67cc8b3,1,0,para-server/src/main/java/com/erudika/para/aop/IndexAndCacheAspect.java,DRAFT:6,"DRAFT(claude): local-var rename m->method, stale detectNestedInvocations(m); confirmed compile error"
jacquesberger_jsonparsingexample__ac521954c2,1,0,src/main/java/org/jberger/jsonparsingexample/json/JSON.java,DRAFT:6,"DRAFT(claude): local-var rename bookTitleList->outputList, out-of-scope stale use; confirmed compile error"
javaparser_javaparser__a23c6aa3b8,1,0,javaparser-testing/src/test/java/com/github/javaparser/bdd/steps/DumpingSteps.java,DRAFT:none,DRAFT(claude): stale-side selection (BDD @Given binding + DumpVisitor import); low confidence; spork passed
jnr_jnr-unixsocket__467698b6bd,2,0,src/main/java/jnr/unixsocket/Native.java;src/main/java/jnr/unixsocket/UnixSocketChannel.java,DRAFT:none,"DRAFT(claude): import-deletion interference: uses Struct/Pointer, imports merged away; confirmed compile error"
kaazing_robot__084cc0b426,1,0,specification/wse/src/test/java/org/kaazing/specification/wse/data/BinaryAsEscapedTextIT.java,DRAFT:none,DRAFT(claude): additive duplication: duplicate @Ignore (non-repeatable) + @Test dev removed
mikera_vectorz__d93ef1b341,1,0,src/test/java/mikera/matrixx/TestMatrices.java,DRAFT:none-identified,DRAFT(claude): all scored files == dev resolution (ws-norm); failure not attributable to scored files
mitre_http-proxy-servlet__b7a68118f2,1,0,src/main/java/org/mitre/dsmiley/httpproxy/ProxyServlet.java,DRAFT:none-identified,DRAFT(claude): all scored files == dev resolution (ws-norm); failure not attributable to scored files
named-data_jndn__3d47402192,1,0,src/net/named_data/jndn/NetworkNack.java,DRAFT:none-identified,DRAFT(claude): all scored files == dev resolution (ws-norm); failure not attributable to scored files
nysenate_openlegislation__9c7cf034c1,1,0,src/main/java/gov/nysenate/openleg/search/committee/ElasticCommitteeSearchDao.java,DRAFT:6,"DRAFT(claude): cross-file migration getResults/getResult -> resultList/result, stale callers kept"
openhft_chronicle-bytes__5bad7e86ea,1,0,src/main/java/net/openhft/chronicle/bytes/NativeBytes.java,DRAFT:none-identified,DRAFT(claude): all scored files == dev resolution (ws-norm); failure not attributable to scored files
openhft_chronicle-bytes__e3ac571d25,1,0,src/test/java/net/openhft/chronicle/bytes/BytesTest.java,DRAFT:none-identified,DRAFT(claude): all scored files == dev resolution (ws-norm); failure not attributable to scored files
prism_prism-bukkit__6dfb9ef0cf,1,0,src/main/java/me/botsko/prism/commands/NearCommand.java,DRAFT:none-identified,DRAFT(claude): all scored files == dev resolution (ws-norm); failure not attributable to scored files
prism_prism-bukkit__74927cacad,2,1,src/main/java/me/botsko/prism/actionlibs/ActionsQuery.java;src/main/java/me/botsko/prism/database/DeleteQuery.java,DRAFT:indeterminate,DRAFT(claude): candidate culprit ActionsQuery.java diverged (conflict) at file-level re-merge
tabulapdf_tabula-java__767699f3aa,2,1,src/main/java/technology/tabula/detectors/RegexSearch.java;src/test/java/technology/tabula/TestRegexSearch.java,DRAFT:6,"DRAFT(claude): cross-file ctor signature change, stale 5-arg call kept (dev adds null 6th arg)"
thenewcircle_spring-hibernate-20120924__7ec9c1b4bb,1,0,src/main/java/com/marakana/contacts/controllers/ContactController.java,DRAFT:none,DRAFT(claude): additive duplication: kept @RequestMapping handlers dev deleted -> ambiguous mappings
winder_universal-g-code-sender__84d687330a,2,0,ugs-core/src/com/willwinder/universalgcodesender/model/GUIBackend.java;ugs-core/src/com/willwinder/universalgcodesender/utils/ControllerSettings.java,DRAFT:6,"DRAFT(claude): return type -> Optional<IController>, stale bare return; confirmed compile error"
xebia_xebium__a82603c978,1,0,src/main/java/com/xebia/incubator/xebium/SeleniumDriverFixture.java,DRAFT:none-identified,DRAFT(claude): all scored files == dev resolution (ws-norm); failure not attributable to scored files
